Genome	type
BDP_427159	BDP
BDP_427821	BDP
BDP_4283	BDP
BDP_428536	BDP
BDP_428653	BDP
BDP_428771	BDP
BDP_429148	BDP
BDP_430019	BDP
BDP_430020	BDP
BDP_430021	BDP
BDP_430025	BDP
BDP_430028	BDP
BDP_430034	BDP
BDP_430050	BDP
BDP_430052	BDP
BDP_430053	BDP
BDP_430057	BDP
BDP_430059	BDP
BDP_430060	BDP
BDP_430061	BDP
BDP_430063	BDP
BDP_430064	BDP
BDP_430070	BDP
BDP_430074	BDP
BDP_430079	BDP
BDP_430081	BDP
BDP_430084	BDP
BDP_430085	BDP
BDP_430087	BDP
BDP_430095	BDP
BDP_430103	BDP
BDP_430111	BDP
BDP_430115	BDP
BDP_430128	BDP
BDP_4305	BDP
BDP_43491	BDP
BDP_43494	BDP
BDP_43805	BDP
BDP_43841	BDP
BDP_43853	BDP
BDP_4419	BDP
BDP_454	BDP
BDP_4577	BDP
BDP_46458	BDP
BDP_46556	BDP
BDP_46638	BDP
BDP_47073	BDP
BDP_47079	BDP
BDP_47087	BDP
BDP_47582	BDP
BDP_47933	BDP
BDP_48265	BDP
BDP_48458	BDP
BDP_48735	BDP
BDP_48892	BDP
BDP_48973	BDP
BDP_4906	BDP
BDP_49461	BDP
BDP_49840	BDP
BDP_49882	BDP
BDP_50584	BDP
BDP_50585	BDP
BDP_50669	BDP
BDP_50680	BDP
BDP_50932	BDP
BDP_514	BDP
BDP_51578	BDP
BDP_51848	BDP
BDP_51930	BDP
BDP_52643	BDP
BDP_52954	BDP
BDP_53382	BDP
BDP_53508	BDP
BDP_53812	BDP
BDP_53837	BDP
BDP_54151	BDP
BDP_54248	BDP
BDP_54387	BDP
BDP_54425	BDP
BDP_54653	BDP
BDP_54669	BDP
BDP_54764	BDP
BDP_54980	BDP
BDP_5549	BDP
BDP_55645	BDP
BDP_55939	BDP
BDP_56213	BDP
BDP_56323	BDP
BDP_5659	BDP
BDP_56889	BDP
BDP_5806	BDP
BDP_58062	BDP
BDP_58528	BDP
BDP_58640	BDP
BDP_59040	BDP
BDP_59123	BDP
BDP_59892	BDP
BDP_59905	BDP
BDP_60358	BDP
BDP_61172	BDP
BDP_61258	BDP
BDP_6147	BDP
BDP_61889	BDP
BDP_62154	BDP
BDP_62374	BDP
BDP_62797	BDP
BDP_62798	BDP
BDP_63105	BDP
BDP_63250	BDP
BDP_63606	BDP
BDP_64440	BDP
BDP_6472	BDP
BDP_64869	BDP
BDP_65008	BDP
BDP_65476	BDP
BDP_65948	BDP
BDP_66089	BDP
BDP_66522	BDP
BDP_66658	BDP
BDP_66854	BDP
BDP_67023	BDP
BDP_68289	BDP
BDP_68499	BDP
BDP_6916	BDP
BDP_69244	BDP
BDP_69460	BDP
BDP_6953	BDP
BDP_69552	BDP
BDP_705	BDP
BDP_70521	BDP
BDP_70728	BDP
BDP_70926	BDP
BDP_7167	BDP
BDP_71903	BDP
BDP_71991	BDP
BDP_72021	BDP
BDP_72663	BDP
BDP_73178	BDP
BDP_73280	BDP
BDP_74267	BDP
BDP_74836	BDP
BDP_75769	BDP
BDP_76115	BDP
BDP_76222	BDP
BDP_76492	BDP
BDP_76953	BDP
BDP_77462	BDP
BDP_77644	BDP
BDP_77781	BDP
BDP_78147	BDP
BDP_78206	BDP
BDP_79036	BDP
BDP_79168	BDP
BDP_79335	BDP
BDP_81046	BDP
BDP_81127	BDP
BDP_8156	BDP
BDP_81571	BDP
BDP_82158	BDP
BDP_82694	BDP
BDP_83675	BDP
BDP_83720	BDP
BDP_8401	BDP
BDP_84033	BDP
BDP_84135	BDP
BDP_84142	BDP
BDP_84210	BDP
BDP_84347	BDP
BDP_84421	BDP
BDP_84697	BDP
BDP_84789	BDP
BDP_85481	BDP
BDP_85719	BDP
BDP_85837	BDP
BDP_85952	BDP
BDP_8597	BDP
BDP_86033	BDP
BDP_86156	BDP
BDP_86340	BDP
BDP_86373	BDP
BDP_87351	BDP
BDP_87443	BDP
BDP_87444	BDP
BDP_87456	BDP
BDP_87584	BDP
BDP_88404	BDP
BDP_89176	BDP
BDP_89475	BDP
BDP_89491	BDP
BDP_89568	BDP
BDP_89599	BDP
BDP_89957	BDP
BDP_90631	BDP
BDP_90943	BDP
BDP_91034	BDP
BDP_91479	BDP
BDP_91741	BDP
BDP_91936	BDP
BDP_9199	BDP
BDP_92334	BDP
BDP_92547	BDP
BDP_92568	BDP
BDP_93302	BDP
BDP_93461	BDP
BDP_93563	BDP
BDP_95192	BDP
BDP_95378	BDP
BDP_96011	BDP
BDP_96359	BDP
BDP_96492	BDP
BDP_96596	BDP
BDP_96694	BDP
BDP_9692	BDP
BDP_97125	BDP
BDP_97751	BDP
BDP_98151	BDP
BDP_98152	BDP
BDP_98153	BDP
BDP_9857	BDP
BDP_98803	BDP
BDP_98813	BDP
BDP_99137	BDP
BDP_99212	BDP
BDP_9932	BDP
BDP_99411	BDP
NZ_AKUM01000004.1__690000-700000_686909-686929-699413-699433-100-100-21	DP
NZ_AP024568.1__4170000-4180000_4168505-4168574-4176145-4176213-100-100-70	DP
